Names	Conditions
P2_N15	P2_R2_BGP_15_2
P2_N16	P2_R2_ZL0420_2
P2_N17	P2_R2_PT_2385_2
P2_N18	P2_R2_Paris_saponin_VII_2
P2_N19	P2_R2_Go_6983_2
P2_N20	P2_R2_Tz_Thalidomide_2
P2_N21	P2_R2_NVP_BSK805_(dihydrochloride)_2
P2_N22	P2_R2_CPI_203_2
P2_O03	P2_R2_FHD_286_2
P2_O04	P2_R2_KG_548_2
P2_O05	P2_R2_HIF_IN_1_2
P2_O06	P2_R2_MAT2A_inhibitor_3_2
P2_O07	P2_R2_GNE_272_2
P2_O08	P2_R2_Tacedinaline_2
P2_O09	P2_R2_PF_CBP1_hydrochloride_2
P2_O10	P2_R2_ZL0454_2
P2_O11	P2_R2_Mivebresib_2
P2_O12	P2_R2_Hispidin_2
P2_O13	P2_R2_Tucidinostat_2
P2_O14	P2_R2_GSK8573_2
P2_O15	P2_R2_Protein_kinase_inhibitor_H_7_(dihydrochloride)_2
P2_O16	P2_R2_A_3_(hydrochloride)_2
P2_O17	P2_R2_Bisindolylmaleimide_IV_2
P2_O18	P2_R2_CMPD101_2
P2_O19	P2_R2_BET_BAY_002_2
P2_O20	P2_R2_PHA_680632_2
P2_O21	P2_R2_AMPK_activator_4_2
P2_O22	P2_R2_MK_8745_2
P2_P03	P2_R2_L002_2
P2_P04	P2_R2_Daphnoretin_2
P2_P05	P2_R2_Ruxolitinib_2
P2_P06	P2_R2_MAT2A_inhibitor_2_2
P2_P07	P2_R2_TP_472_2
P2_P08	P2_R2_TC_S_7009_2
P2_P09	P2_R2_SMI_4a_2
P2_P10	P2_R2_CX_6258_2
P2_P11	P2_R2_HIF_2__IN_4_2
P2_P12	P2_R2_Pim1/AKK1_IN_1_2
P2_P13	P2_R2_HDAC8_IN_1_2
P2_P14	P2_R2_CUDC_101_2
P2_P15	P2_R2_PKC_IN_1_2
P2_P16	P2_R2_G244_LM_2
P2_P17	P2_R2_Ingenol_2
P2_P18	P2_R2_Saruparib_2
P2_P19	P2_R2_GSK3326595_2
P2_P20	P2_R2_INCB054329_2
P2_P21	P2_R2_CBP/p300_IN_3_2
P2_P22	P2_R2_TAS_301_2
P3_A03	P3_R2_AZD_2461_1
P3_A04	P3_R2_TMP269_1
P3_A05	P3_R2_DM_01_1
P3_A06	P3_R2_AMI_1_(free_acid)_1
P3_A07	P3_R2_MK_5108_1
P3_A08	P3_R2_MIND4_19_1
P3_A09	P3_R2_CHDI_390576_1
P3_A10	P3_R2_GSK_5959_1
P3_A11	P3_R2_NVP_TNKS656_1
P3_A12	P3_R2_Remetinostat_1
P3_A13	P3_R2_BI_2536_1
P3_A14	P3_R2_Urolithin_B_1
P3_A15	P3_R2_BIX_01294_1
P3_A16	P3_R2_S2101_1
P3_A17	P3_R2_UC_514321_1
P3_A18	P3_R2_NSC_228155_1
P3_A19	P3_R2_TH34_1
P3_A20	P3_R2_NSC_42834_1
P3_A21	P3_R2_HLCL_61_(hydrochloride)_1
P3_A22	P3_R2_CAY10602_1
P3_B03	P3_R2_PR5_LL_CM01_1
P3_B04	P3_R2_SRT_2104_1
P3_B05	P3_R2_Epsilon_V1_2_1
P3_B06	P3_R2_Sirtuin_modulator_1_1
P3_B07	P3_R2_LT052_1
P3_B08	P3_R2_JAK_IN_25_1
P3_B09	P3_R2_Benzamide_1
P3_B10	P3_R2_(+)_JQ_1_aldehyde_1
P3_B11	P3_R2_DN02_1
P3_B12	P3_R2_PF_06726304_1
P3_B13	P3_R2_Tubacin_1
P3_B14	P3_R2_Bufexamac_1
P3_B15	P3_R2_Targapremir_210_1
P3_B16	P3_R2_SW2_110A_1
P3_B17	P3_R2_RG2833_1
P3_B18	P3_R2_Quisinostat_(dihydrochloride)_1
P3_B19	P3_R2_GSK_4027_1
P3_B20	P3_R2_Inobrodib_1
P3_B21	P3_R2_ACY_957_1
P3_B22	P3_R2_Sirtuin_modulator_2_1
P3_C03	P3_R2_Povorcitinib_(phosphate)_1
P3_C04	P3_R2_GSK3368715_(dihydrochloride)_1
P3_C05	P3_R2_Birabresib_1
P3_C06	P3_R2_SMYD3_IN_1_1
P3_C07	P3_R2_UNC0379_1
P3_C08	P3_R2_Gusacitinib_1
P3_C09	P3_R2_BRD4770_1
P3_C10	P3_R2_AS_85_1
P3_C11	P3_R2_GSK1379725A_1
P3_C12	P3_R2_C_7280948_1
P3_C13	P3_R2_AS8351_1
P3_C14	P3_R2_CRA_026440_(hydrochloride)_1
P3_C15	P3_R2_Onametostat_1
P3_C16	P3_R2_AT9283_1
P3_C17	P3_R2_Itacnosertib_1
P3_C18	P3_R2_SMI_16a_1
P3_C19	P3_R2_GDC_4379_1
P3_C20	P3_R2_FLLL32_1
P3_C21	P3_R2_COH_SR4_1
P3_C22	P3_R2_FHT_1204_1
P3_D03	P3_R2_9_Hydroxyoctadecanoic_acid_1
P3_D04	P3_R2_Metformin_1
P3_D05	P3_R2_MM_102_(TFA)_1
P3_D06	P3_R2_BAY_6035_1
P3_D07	P3_R2_Elevenostat_1
P3_D08	P3_R2_TP_064_1
P3_D09	"P3_R2_(3R,4S)_Tofacitinib_1"
P3_D10	P3_R2_SP2509_1
P3_D11	P3_R2_AG490_1
P3_D12	P3_R2_DC_S239_1
P3_D13	P3_R2_PAD_IN_2_1
P3_D14	P3_R2_(S)_JQ_35_1
P3_D15	P3_R2_TK_129_1
P3_D16	P3_R2_G5_7_1
P3_D17	P3_R2_Zebularine_1
P3_D18	P3_R2_XD14_1
P3_D19	P3_R2_2_Methylquinazolin_4_ol_1
P3_D20	P3_R2_IACS_9571_(hydrochloride)_1
P3_D21	P3_R2_SIRT6_activator_12q_1
P3_D22	P3_R2_WM_1119_1
P3_E03	P3_R2_BAY_87_2243_1
P3_E04	P3_R2_HIF_2__agonist_2_1
P3_E05	P3_R2_I_BET762_carboxylic_acid_1
P3_E06	P3_R2_KDM5_C70_1
P3_E07	P3_R2_MN_64_1
P3_E08	P3_R2_GSK2807_(Trifluoroacetate)_1
P3_E09	P3_R2_Givinostat_(hydrochloride_monohydrate)_1
P3_E10	P3_R2_dBRD9_1
P3_E11	P3_R2_Gandotinib_1
P3_E12	P3_R2_GSK126_1
P3_E13	P3_R2_WDR5_IN_1_1
P3_E14	P3_R2_Niraparib_(hydrochloride)_1
P3_E15	P3_R2_Povorcitinib_1
P3_E16	P3_R2_AZ960_1
P3_E17	P3_R2_LLY_507_1
P3_E18	P3_R2_GSK_LSD1_(dihydrochloride)_1
P3_E19	P3_R2_HJ_PI01_1
P3_E20	P3_R2_Mitoxantrone_(dihydrochloride)_1
P3_E21	P3_R2_Momelotinib_1
P3_E22	P3_R2_GSK_J1_1
P3_F03	P3_R2_ZLN024_(hydrochloride)_1
P3_F04	P3_R2_DC_05_1
P3_F05	P3_R2_Citarinostat_1
P3_F06	P3_R2_OF_1_1
P3_F07	P3_R2_ENMD_2076_1
P3_F08	P3_R2_NI_57_1
P3_F09	P3_R2_Delphinidin_(chloride)_1
P3_F10	P3_R2_Valemetostat_(tosylate)_1
P3_F11	P3_R2_Vadadustat_1
P3_F12	P3_R2_PRMT5_IN_29_1
P3_F13	P3_R2_NCC_149_1
P3_F14	P3_R2_PARP_1_IN_2_1
P3_F15	P3_R2_DY_46_2_1
P3_F16	P3_R2_NCGC00247743_1
P3_F17	P3_R2_NSC_694623_1
P3_F18	P3_R2_Moracin_O_1
P3_F19	P3_R2_UNC3866_1
P3_F20	P3_R2_AZD5153_(6_Hydroxy_2_naphthoic_acid)_1
P3_F21	P3_R2_BAY1238097_1
P3_F22	P3_R2_PARP1_IN_11_1
P3_G03	P3_R2_GDC_0339_1
P3_G04	P3_R2_WM_3835_1
P3_G05	P3_R2_Adaptaquin_1
P3_G06	P3_R2_RBN_2397_1
P3_G07	P3_R2_PBIT_1
P3_G08	P3_R2_Veliparib_1
P3_G09	P3_R2_KC7F2_1
P3_G10	P3_R2_Ophiopogonin_D'_1
P3_G11	P3_R2_Nanatinostat_1
P3_G12	P3_R2_DS_437_1
P3_G13	P3_R2_Revumenib_1
P3_G14	P3_R2_Tofacitinib_(citrate)_1
P3_G15	P3_R2_Ilginatinib_1
P3_G16	P3_R2_GSK484_(hydrochloride)_1
P3_G17	P3_R2_Aurora_kinase_inhibitor_8_1
P3_G18	P3_R2_Protein_kinase_inhibitor_H_7_1
P3_G19	P3_R2_PIM447_1
P3_G20	P3_R2_Ruboxistaurin_(mesylate)_1
P3_G21	P3_R2_SETDB1_TTD_IN_1_(TFA)_1
P3_G22	P3_R2_AZ505_(ditrifluoroacetate)_1
P3_H03	P3_R2_Tankyrase_IN_2_1
P3_H04	P3_R2_HIF_2__IN_1_1
P3_H05	P3_R2_L_2_Hydroxyglutaric_acid_(disodium)_1
P3_H06	P3_R2_GS_829845_1
P3_H07	P3_R2_Tenovin_6_1
P3_H08	P3_R2_Fluzoparib_1
P3_H09	P3_R2_RG108_1
P3_H10	P3_R2_JIB_04_1
P3_H11	P3_R2_GNE_375_1
P3_H12	P3_R2_Cl_amidine_(hydrochloride)_1
P3_H13	P3_R2_UNC1999_1
P3_H14	P3_R2_UMB298_1
P3_H15	P3_R2_CGP60474_1
P3_H16	P3_R2_Amredobresib_1
P3_H17	P3_R2_Methylstat_1
P3_H18	P3_R2_Molidustat_1
P3_H19	P3_R2_Nesuparib_1
P3_H20	P3_R2_NiCur_1
P3_H21	P3_R2_Acefylline_1
P3_H22	P3_R2_Ac_Lys_AMC_1
P3_I03	P3_R2_MAT2A_IN_9_1
P3_I04	P3_R2_MI_136_1
P3_I05	P3_R2_Bomedemstat_(ditosylate)_1
P3_I06	P3_R2_WP1066_1
P3_I07	P3_R2_MOZ_IN_2_1
P3_I08	P3_R2_SIRT7_inhibitor_97491_1
P3_I09	P3_R2_SRT_2183_1
P3_I10	P3_R2_MC4355_1
P3_I11	P3_R2_GSK1324726A_1
P3_I12	P3_R2_TH1834_1
P3_I13	P3_R2_SC99_1
P3_I14	P3_R2_UNC4976_(TFA)_1
P3_I15	P3_R2_Bobcat339_1
P3_I16	P3_R2_PF_06409577_1
P3_I17	P3_R2_AES_350_1
P3_I18	P3_R2_GSK_690693_1
P3_I19	P3_R2_GSK6853_1
P3_I20	P3_R2_MARK4_inhibitor_1_1
P3_I21	P3_R2_M_110_1
P3_I22	P3_R2_G007_LK_1
P3_J03	P3_R2_SRT_1720_(monohydrochloride)_1
P3_J04	P3_R2_dCBP_1_1
P3_J05	P3_R2_MC3482_1
P3_J06	P3_R2_BI_9564_1
P3_J07	P3_R2_VTP50469_(fumarate)_1
P3_J08	P3_R2_GSK467_1
P3_J09	P3_R2_Pyridone_6_1
P3_J10	P3_R2_Fasudil_(Hydrochloride)_1
P3_J11	P3_R2_JAK2_IN_7_1
P3_J12	P3_R2_Naphthofluorescein_1
P3_J13	P3_R2_Metoprine_1
P3_J14	P3_R2_Thiomyristoyl_1
P3_J15	P3_R2_NMS_P515_1
P3_J16	P3_R2_OUL35_1
P3_J17	P3_R2_KDM5_IN_1_1
P3_J18	P3_R2_Stenoparib_1
P3_J19	P3_R2_HIF_1__IN_2_(hydrochloride)_1
P3_J20	P3_R2_SRT_1720_(dihydrochloride)_1
P3_J21	P3_R2_Pracinostat_1
P3_J22	P3_R2_PARP1_IN_5_(dihydrochloride)_1
P3_K03	P3_R2_NCDM_32B_1
P3_K04	P3_R2_TTK21_1
P3_K05	P3_R2_ML324_1
P3_K06	P3_R2_Bobcat339_(hydrochloride)_1
P3_K07	P3_R2_NV03_1
P3_K08	P3_R2_HDAC3_IN_T247_1
P3_K09	P3_R2_BMS_986158_1
P3_K10	P3_R2_Ivarmacitinib_1
P3_K11	P3_R2_Remodelin_(hydrobromide)_1
P3_K12	P3_R2_5_Phenylpentan_2_one_1
P3_K13	P3_R2_ML228_1
P3_K14	P3_R2_Senaparib_1
P3_K15	P3_R2_LMK_235_1
P3_K16	P3_R2_SF2523_1
P3_K17	P3_R2_DCP_LA_1
P3_K18	P3_R2_Aurora_kinase_inhibitor_3_1
P3_K19	P3_R2_Curculigoside_1
P3_K20	P3_R2_dBET6_1
P3_K21	P3_R2_GNE_064_1
P3_K22	P3_R2_Vafidemstat_1
P3_L03	P3_R2_PFI_3_1
P3_L04	P3_R2_3_Methoxybenzamide_1
P3_L05	P3_R2_SRT_1720_1
P3_L06	P3_R2_(Rac)_BAY1238097_1
P3_L07	P3_R2_SYP_5_1
P3_L08	P3_R2_Danthron_1
P3_L09	P3_R2_ACY_775_1
P3_L10	P3_R2_AT_533_1
P3_L11	P3_R2_GSK2879552_1
P3_L12	P3_R2_MR837_1
P3_L13	P3_R2_Roxadustat_1
P3_L14	P3_R2_Ac_Arg_Gly_Lys(Ac)_AMC_1
P3_L15	P3_R2_NU1025_1
P3_L16	P3_R2_Dencichine_1
P3_L17	P3_R2_PCAF_IN_2_1
P3_L18	P3_R2_SB_429201_1
P3_L19	P3_R2_CPI_4203_1
P3_L20	P3_R2_Phthalazinone_pyrazole_1
P3_L21	P3_R2_C646_1
P3_L22	P3_R2_(S)_Selisistat_1
P3_M03	P3_R2_Droxinostat_1
P3_M04	P3_R2_MSC2504877_1
P3_M05	P3_R2_HIF_2__IN_2_1
P3_M06	P3_R2_VTX_27_1
P3_M07	P3_R2_IOX4_1
P3_M08	P3_R2_DNMT3A_IN_1_1
P3_M09	P3_R2_KDM4D_IN_1_1
P3_M10	P3_R2_EB_47_(dihydrochloride)_1
P3_M11	P3_R2_UNC0642_1
P3_M12	P3_R2_BYK204165_1
P3_M13	P3_R2_HDAC_IN_40_1
P3_M14	P3_R2_Quercetagetin_1
P3_M15	P3_R2_MK8722_1
P3_M16	P3_R2_Bisindolylmaleimide_VIII_(acetate)_1
P3_M17	P3_R2_PF_06685249_1
P3_M18	P3_R2_TP_3654_1
P3_M19	P3_R2_SGI_1776_(free_base)_1
P3_M20	P3_R2_ZLD1039_1
P3_M21	P3_R2_ZM39923_(hydrochloride)_1
P3_M22	P3_R2_Rucaparib_(monocamsylate)_1
P3_N03	P3_R2_Valrubicin_1
P3_N04	"P3_R2_2,6_Dichloro_N_(2_(cyclopropanecarboxamido)pyridin_4_yl)benzamide_1"
P3_N05	P3_R2_Bromosporine_1
P3_N06	P3_R2_Apabetalone_1
P3_N07	P3_R2_SGC3027_1
P3_N08	P3_R2_DCH36_06_1
P3_N09	P3_R2_AZD_1480_1
P3_N10	P3_R2_RNAENFDRF_(TFA)_1
P3_N11	P3_R2_Minocycline_(hydrochloride)_1
P3_N12	P3_R2_Cenisertib_1
P3_N13	P3_R2_SW155246_1
P3_N14	P3_R2_BPTF_IN_BZ1_1
P3_N15	P3_R2_HIF_2__IN_3_1
P3_N16	P3_R2_NI_42_1
P3_N17	P3_R2_DDO_2093_(dihydrochloride)_1
P3_N18	P3_R2_SIRT5_inhibitor_3_1
P3_N19	P3_R2_GS_626510_1
P3_N20	P3_R2_SIRT_IN_2_1
P3_N21	P3_R2_Mefuparib_(hydrochloride)_1
P3_N22	P3_R2_Niraparib_(tosylate)_1
P3_O03	P3_R2_Dot1L_IN_4_1
P3_O04	P3_R2_AZ505_1
P3_O05	P3_R2_Amodiaquine_(dihydrochloride_dihydrate)_1
P3_O06	P3_R2_666_15_1
P3_O07	P3_R2_WHI_P97_1
P3_O08	P3_R2_GSK4028_1
P3_O09	P3_R2_Cucurbitacin_I_1
P3_O10	P3_R2_CCT_137690_1
P3_O11	P3_R2_Domatinostat_1
P3_O12	P3_R2_NSC_694621_1
P3_O13	P3_R2_EPZ004777_1
P3_O14	P3_R2_BI_847325_1
P3_O15	P3_R2_HA_100_1
P3_O16	P3_R2_CGP_53353_1
P3_O17	P3_R2_SKLB325_1
P3_O18	P3_R2_Enzastaurin_1
P3_O19	P3_R2_Oclacitinib_(maleate)_1
P3_O20	P3_R2_XL019_1
P3_O21	P3_R2_R59949_1
P3_O22	P3_R2_Dimethyl_bisphenol_A_1
P3_P03	P3_R2_OTS186935_(hydrochloride)_1
P3_P04	P3_R2_PARP10/15_IN_1_1
P3_P05	P3_R2_SW_100_1
P3_P06	P3_R2_OXFBD04_1
P3_P07	P3_R2_MS645_1
P3_P08	P3_R2_MI_2_2_1
P3_P09	P3_R2_Naringenin_triacetate_1
P3_P10	P3_R2_AKB_6899_1
P3_P11	P3_R2_DC_BPi_11_(hydrochloride)_1
P3_P12	P3_R2_INO_1001_1
P3_P13	P3_R2_PCI_34051_1
P3_P14	P3_R2_FM19G11_1
P3_P15	P3_R2_Naphthol_AS_E_1
P3_P16	"P3_R2_1,5_Isoquinolinediol_1"
P3_P17	P3_R2_Aurintricarboxylic_acid_1
P3_P18	P3_R2_NSC636819_1
P3_P19	P3_R2_Molibresib_(besylate)_1
P3_P20	P3_R2_MS023_(dihydrochloride)_1
P3_P21	P3_R2_Karanjin_1
P3_P22	P3_R2_RSVA405_1
P4_A03	P4_R2_AZD_2461_2
P4_A04	P4_R2_TMP269_2
P4_A05	P4_R2_DM_01_2
P4_A06	P4_R2_AMI_1_(free_acid)_2
P4_A07	P4_R2_MK_5108_2
P4_A08	P4_R2_MIND4_19_2
P4_A09	P4_R2_CHDI_390576_2
P4_A10	P4_R2_GSK_5959_2
P4_A11	P4_R2_NVP_TNKS656_2
P4_A12	P4_R2_Remetinostat_2
P4_A13	P4_R2_BI_2536_2
P4_A14	P4_R2_Urolithin_B_2
P4_A15	P4_R2_BIX_01294_2
P4_A16	P4_R2_S2101_2
P4_A17	P4_R2_UC_514321_2
P4_A18	P4_R2_NSC_228155_2
P4_A19	P4_R2_TH34_2
P4_A20	P4_R2_NSC_42834_2
P4_A21	P4_R2_HLCL_61_(hydrochloride)_2
P4_A22	P4_R2_CAY10602_2
P4_B03	P4_R2_PR5_LL_CM01_2
P4_B04	P4_R2_SRT_2104_2
P4_B05	P4_R2_Epsilon_V1_2_2
P4_B06	P4_R2_Sirtuin_modulator_1_2
P4_B07	P4_R2_LT052_2
P4_B08	P4_R2_JAK_IN_25_2
P4_B09	P4_R2_Benzamide_2
P4_B10	P4_R2_(+)_JQ_1_aldehyde_2
P4_B11	P4_R2_DN02_2
P4_B12	P4_R2_PF_06726304_2
P4_B13	P4_R2_Tubacin_2
P4_B14	P4_R2_Bufexamac_2
P4_B15	P4_R2_Targapremir_210_2
P4_B16	P4_R2_SW2_110A_2
P4_B17	P4_R2_RG2833_2
P4_B18	P4_R2_Quisinostat_(dihydrochloride)_2
P4_B19	P4_R2_GSK_4027_2
P4_B20	P4_R2_Inobrodib_2
P4_B21	P4_R2_ACY_957_2
P4_B22	P4_R2_Sirtuin_modulator_2_2
P4_C03	P4_R2_Povorcitinib_(phosphate)_2
P4_C04	P4_R2_GSK3368715_(dihydrochloride)_2
P4_C05	P4_R2_Birabresib_2
P4_C06	P4_R2_SMYD3_IN_1_2
P4_C07	P4_R2_UNC0379_2
P4_C08	P4_R2_Gusacitinib_2
P4_C09	P4_R2_BRD4770_2
P4_C10	P4_R2_AS_85_2
P4_C11	P4_R2_GSK1379725A_2
P4_C12	P4_R2_C_7280948_2
P4_C13	P4_R2_AS8351_2
P4_C14	P4_R2_CRA_026440_(hydrochloride)_2
P4_C15	P4_R2_Onametostat_2
P4_C16	P4_R2_AT9283_2
P4_C17	P4_R2_Itacnosertib_2
P4_C18	P4_R2_SMI_16a_2
P4_C19	P4_R2_GDC_4379_2
P4_C20	P4_R2_FLLL32_2
P4_C21	P4_R2_COH_SR4_2
P4_C22	P4_R2_FHT_1204_2
P4_D03	P4_R2_9_Hydroxyoctadecanoic_acid_2
P4_D04	P4_R2_Metformin_2
P4_D05	P4_R2_MM_102_(TFA)_2
P4_D06	P4_R2_BAY_6035_2
P4_D07	P4_R2_Elevenostat_2
P4_D08	P4_R2_TP_064_2
P4_D09	"P4_R2_(3R,4S)_Tofacitinib_2"
P4_D10	P4_R2_SP2509_2
P4_D11	P4_R2_AG490_2
P4_D12	P4_R2_DC_S239_2
P4_D13	P4_R2_PAD_IN_2_2
P4_D14	P4_R2_(S)_JQ_35_2
P4_D15	P4_R2_TK_129_2
P4_D16	P4_R2_G5_7_2
P4_D17	P4_R2_Zebularine_2
P4_D18	P4_R2_XD14_2
P4_D19	P4_R2_2_Methylquinazolin_4_ol_2
P4_D20	P4_R2_IACS_9571_(hydrochloride)_2
P4_D21	P4_R2_SIRT6_activator_12q_2
P4_D22	P4_R2_WM_1119_2
P4_E03	P4_R2_BAY_87_2243_2
P4_E04	P4_R2_HIF_2__agonist_2_2
P4_E05	P4_R2_I_BET762_carboxylic_acid_2
P4_E06	P4_R2_KDM5_C70_2
P4_E07	P4_R2_MN_64_2
P4_E08	P4_R2_GSK2807_(Trifluoroacetate)_2
P4_E09	P4_R2_Givinostat_(hydrochloride_monohydrate)_2
P4_E10	P4_R2_dBRD9_2
P4_E11	P4_R2_Gandotinib_2
P4_E12	P4_R2_GSK126_2
P4_E13	P4_R2_WDR5_IN_1_2
P4_E14	P4_R2_Niraparib_(hydrochloride)_2
P4_E15	P4_R2_Povorcitinib_2
P4_E16	P4_R2_AZ960_2
P4_E17	P4_R2_LLY_507_2
P4_E18	P4_R2_GSK_LSD1_(dihydrochloride)_2
P4_E19	P4_R2_HJ_PI01_2
P4_E20	P4_R2_Mitoxantrone_(dihydrochloride)_2
P4_E21	P4_R2_Momelotinib_2
P4_E22	P4_R2_GSK_J1_2
P4_F03	P4_R2_ZLN024_(hydrochloride)_2
P4_F04	P4_R2_DC_05_2
P4_F05	P4_R2_Citarinostat_2
P4_F06	P4_R2_OF_1_2
P4_F07	P4_R2_ENMD_2076_2
P4_F08	P4_R2_NI_57_2
P4_F09	P4_R2_Delphinidin_(chloride)_2
P4_F10	P4_R2_Valemetostat_(tosylate)_2
P4_F11	P4_R2_Vadadustat_2
P4_F12	P4_R2_PRMT5_IN_29_2
P4_F13	P4_R2_NCC_149_2
P4_F14	P4_R2_PARP_1_IN_2_2
P4_F15	P4_R2_DY_46_2_2
P4_F16	P4_R2_NCGC00247743_2
P4_F17	P4_R2_NSC_694623_2
P4_F18	P4_R2_Moracin_O_2
P4_F19	P4_R2_UNC3866_2
P4_F20	P4_R2_AZD5153_(6_Hydroxy_2_naphthoic_acid)_2
P4_F21	P4_R2_BAY1238097_2
P4_F22	P4_R2_PARP1_IN_11_2
P4_G03	P4_R2_GDC_0339_2
P4_G04	P4_R2_WM_3835_2
P4_G05	P4_R2_Adaptaquin_2
P4_G06	P4_R2_RBN_2397_2
P4_G07	P4_R2_PBIT_2
P4_G08	P4_R2_Veliparib_2
P4_G09	P4_R2_KC7F2_2
P4_G10	P4_R2_Ophiopogonin_D'_2
P4_G11	P4_R2_Nanatinostat_2
P4_G12	P4_R2_DS_437_2
P4_G13	P4_R2_Revumenib_2
P4_G14	P4_R2_Tofacitinib_(citrate)_2
P4_G15	P4_R2_Ilginatinib_2
P4_G16	P4_R2_GSK484_(hydrochloride)_2
P4_G17	P4_R2_Aurora_kinase_inhibitor_8_2
P4_G18	P4_R2_Protein_kinase_inhibitor_H_7_2
P4_G19	P4_R2_PIM447_2
P4_G20	P4_R2_Ruboxistaurin_(mesylate)_2
P4_G21	P4_R2_SETDB1_TTD_IN_1_(TFA)_2
P4_G22	P4_R2_AZ505_(ditrifluoroacetate)_2
P4_H03	P4_R2_Tankyrase_IN_2_2
P4_H04	P4_R2_HIF_2__IN_1_2
P4_H05	P4_R2_L_2_Hydroxyglutaric_acid_(disodium)_2
P4_H06	P4_R2_GS_829845_2
P4_H07	P4_R2_Tenovin_6_2
P4_H08	P4_R2_Fluzoparib_2
P4_H09	P4_R2_RG108_2
P4_H10	P4_R2_JIB_04_2
P4_H11	P4_R2_GNE_375_2
P4_H12	P4_R2_Cl_amidine_(hydrochloride)_2
P4_H13	P4_R2_UNC1999_2
P4_H14	P4_R2_UMB298_2
P4_H15	P4_R2_CGP60474_2
P4_H16	P4_R2_Amredobresib_2
P4_H17	P4_R2_Methylstat_2
P4_H18	P4_R2_Molidustat_2
P4_H19	P4_R2_Nesuparib_2
P4_H20	P4_R2_NiCur_2
P4_H21	P4_R2_Acefylline_2
P4_H22	P4_R2_Ac_Lys_AMC_2
P4_I03	P4_R2_MAT2A_IN_9_2
P4_I04	P4_R2_MI_136_2
P4_I05	P4_R2_Bomedemstat_(ditosylate)_2
P4_I06	P4_R2_WP1066_2
P4_I07	P4_R2_MOZ_IN_2_2
P4_I08	P4_R2_SIRT7_inhibitor_97491_2
P4_I09	P4_R2_SRT_2183_2
P4_I10	P4_R2_MC4355_2
P4_I11	P4_R2_GSK1324726A_2
P4_I12	P4_R2_TH1834_2
P4_I13	P4_R2_SC99_2
P4_I14	P4_R2_UNC4976_(TFA)_2
P4_I15	P4_R2_Bobcat339_2
P4_I16	P4_R2_PF_06409577_2
P4_I17	P4_R2_AES_350_2
P4_I18	P4_R2_GSK_690693_2
P4_I19	P4_R2_GSK6853_2
P4_I20	P4_R2_MARK4_inhibitor_1_2
P4_I21	P4_R2_M_110_2
P4_I22	P4_R2_G007_LK_2
P4_J03	P4_R2_SRT_1720_(monohydrochloride)_2
P4_J04	P4_R2_dCBP_1_2
P4_J05	P4_R2_MC3482_2
P4_J06	P4_R2_BI_9564_2
P4_J07	P4_R2_VTP50469_(fumarate)_2
P4_J08	P4_R2_GSK467_2
P4_J09	P4_R2_Pyridone_6_2
P4_J10	P4_R2_Fasudil_(Hydrochloride)_2
P4_J11	P4_R2_JAK2_IN_7_2
P4_J12	P4_R2_Naphthofluorescein_2
P4_J13	P4_R2_Metoprine_2
P4_J14	P4_R2_Thiomyristoyl_2
P4_J15	P4_R2_NMS_P515_2
P4_J16	P4_R2_OUL35_2
P4_J17	P4_R2_KDM5_IN_1_2
P4_J18	P4_R2_Stenoparib_2
P4_J19	P4_R2_HIF_1__IN_2_(hydrochloride)_2
P4_J20	P4_R2_SRT_1720_(dihydrochloride)_2
P4_J21	P4_R2_Pracinostat_2
P4_J22	P4_R2_PARP1_IN_5_(dihydrochloride)_2
P4_K03	P4_R2_NCDM_32B_2
P4_K04	P4_R2_TTK21_2
P4_K05	P4_R2_ML324_2
P4_K06	P4_R2_Bobcat339_(hydrochloride)_2
P4_K07	P4_R2_NV03_2
P4_K08	P4_R2_HDAC3_IN_T247_2
P4_K09	P4_R2_BMS_986158_2
P4_K10	P4_R2_Ivarmacitinib_2
P4_K11	P4_R2_Remodelin_(hydrobromide)_2
P4_K12	P4_R2_5_Phenylpentan_2_one_2
P4_K13	P4_R2_ML228_2
P4_K14	P4_R2_Senaparib_2
P4_K15	P4_R2_LMK_235_2
P4_K16	P4_R2_SF2523_2
P4_K17	P4_R2_DCP_LA_2
P4_K18	P4_R2_Aurora_kinase_inhibitor_3_2
P4_K19	P4_R2_Curculigoside_2
P4_K20	P4_R2_dBET6_2
P4_K21	P4_R2_GNE_064_2
P4_K22	P4_R2_Vafidemstat_2
P4_L03	P4_R2_PFI_3_2
P4_L04	P4_R2_3_Methoxybenzamide_2
P4_L05	P4_R2_SRT_1720_2
P4_L06	P4_R2_(Rac)_BAY1238097_2
P4_L07	P4_R2_SYP_5_2
P4_L08	P4_R2_Danthron_2
P4_L09	P4_R2_ACY_775_2
P4_L10	P4_R2_AT_533_2
P4_L11	P4_R2_GSK2879552_2
P4_L12	P4_R2_MR837_2
P4_L13	P4_R2_Roxadustat_2
P4_L14	P4_R2_Ac_Arg_Gly_Lys(Ac)_AMC_2
P4_L15	P4_R2_NU1025_2
P4_L16	P4_R2_Dencichine_2
P4_L17	P4_R2_PCAF_IN_2_2
P4_L18	P4_R2_SB_429201_2
P4_L19	P4_R2_CPI_4203_2
P4_L20	P4_R2_Phthalazinone_pyrazole_2
P4_L21	P4_R2_C646_2
P4_L22	P4_R2_(S)_Selisistat_2
P4_M03	P4_R2_Droxinostat_2
